"temporada","mandante","vitorias","derrotas","empates","pontos_max","pontos_obtidos","aproveitamento"
"2003","Athletico-PR","14","5","4","69","46","0.66666666666667"
"2003","Atletico-MG","13","5","5","69","44","0.63768115942029"
"2003","Bahia","11","6","6","69","39","0.56521739130435"
"2003","Corinthians","11","8","4","69","37","0.53623188405797"
"2003","Coritiba","14","4","5","69","47","0.68115942028986"
"2003","Criciuma","14","6","3","69","45","0.65217391304348"
"2003","Cruzeiro","17","1","5","69","56","0.81159420289855"
"2003","Figueirense","11","4","8","69","41","0.59420289855072"
"2003","Flamengo","14","4","5","69","47","0.68115942028986"
"2003","Fluminense","11","5","7","69","40","0.57971014492754"
"2003","Fortaleza","10","7","6","69","36","0.52173913043478"
"2003","Goias","12","7","4","69","40","0.57971014492754"
"2003","Gremio","10","7","6","69","36","0.52173913043478"
"2003","Guarani","15","5","3","69","48","0.69565217391304"
"2003","Internacional","13","3","7","69","46","0.66666666666667"
"2003","Juventude","9","4","10","69","37","0.53623188405797"
"2003","Parana","13","4","6","69","45","0.65217391304348"
"2003","Paysandu","13","3","7","69","46","0.66666666666667"
"2003","Ponte Preta","7","6","10","69","31","0.44927536231884"
"2003","Santos","15","2","6","69","51","0.73913043478261"
"2003","Sao Caetano","15","3","5","69","50","0.72463768115942"
"2003","Sao Paulo","13","5","5","69","44","0.63768115942029"
"2003","Vasco","11","5","7","69","40","0.57971014492754"
"2003","Vitoria","11","7","5","69","38","0.55072463768116"
"2004","Athletico-PR","16","2","5","69","53","0.76811594202899"
"2004","Atletico-MG","9","5","9","69","36","0.52173913043478"
"2004","Botafogo-RJ","8","4","11","69","35","0.50724637681159"
"2004","Corinthians","12","4","7","69","43","0.6231884057971"
"2004","Coritiba","11","7","5","69","38","0.55072463768116"
"2004","Criciuma","11","6","6","69","39","0.56521739130435"
"2004","Cruzeiro","12","8","3","69","39","0.56521739130435"
"2004","Figueirense","13","3","7","69","46","0.66666666666667"
"2004","Flamengo","10","6","7","69","37","0.53623188405797"
"2004","Fluminense","12","4","7","69","43","0.6231884057971"
"2004","Goias","16","2","5","69","53","0.76811594202899"
"2004","Gremio","7","8","8","69","29","0.42028985507246"
"2004","Guarani","10","5","8","69","38","0.55072463768116"
"2004","Internacional","15","4","4","69","49","0.71014492753623"
"2004","Juventude","10","6","7","69","37","0.53623188405797"
"2004","Palmeiras","12","6","5","69","41","0.59420289855072"
"2004","Parana","12","9","2","69","38","0.55072463768116"
"2004","Paysandu","12","4","7","69","43","0.6231884057971"
"2004","Ponte Preta","11","8","4","69","37","0.53623188405797"
"2004","Santos","18","3","2","69","56","0.81159420289855"
